type,prjres,label
input_general,,fish_profit.subs
input_general,,fish_profit.subs_fill.pu
input_general,,fish_profit.subs_fill.rescale.pu
input_general,,fish_mcp.2050_fill.pu
input_general,,fish_mcp.2004
input_general,,fish_mcp.2050
input_general,,phys_seamounts
input_general,,phys_vents
input_general,,mine_claims
input_general,,phys_scape.1
input_general,,phys_scape.2
input_general,,phys_scape.3
input_general,,phys_scape.4
input_general,,phys_scape.5
input_general,,phys_scape.6
input_general,,phys_scape.7
input_general,,phys_scape.8
input_general,,phys_scape.9
input_general,,phys_scape.10
input_general,,phys_scape.11
input_general,,bio_vgpm
input_taxa_now,,nspp_all
input_taxa_now,,nspp_bivalves
input_taxa_now,,nspp_chitons
input_taxa_now,,nspp_coastal.fishes
input_taxa_now,,nspp_corals
input_taxa_now,,nspp_crustaceans
input_taxa_now,,nspp_echinoderms
input_taxa_now,,nspp_euphausiids
input_taxa_now,,nspp_gastropods
input_taxa_now,,nspp_hydrozoans
input_taxa_now,,nspp_na
input_taxa_now,,nspp_non.squid.cephalopods
input_taxa_now,,nspp_pinnipeds
input_taxa_now,,nspp_reptiles
input_taxa_now,,nspp_sea.spiders
input_taxa_now,,nspp_seagrasses
input_taxa_now,,nspp_sharks
input_taxa_now,,nspp_sponges
input_taxa_now,,nspp_tunas.n.billfishes
input_taxa_now,,nspp_tunicates
input_taxa_now,,nspp_worms
input_taxa_now,,rls_all
input_taxa_now,,rls_bivalves
input_taxa_now,,rls_coastal.fishes
input_taxa_now,,rls_corals
input_taxa_now,,rls_echinoderms
input_taxa_now,,rls_na
input_taxa_now,,rls_non.squid.cephalopods
input_taxa_now,,rls_pinnipeds
input_taxa_now,,rls_reptiles
input_taxa_now,,rls_sharks
input_taxa_now,,rls_tunas.n.billfishes
input_taxa_2100,,nspp_all_2100
input_taxa_2100,,nspp_bivalves_2100
input_taxa_2100,,nspp_chitons_2100
input_taxa_2100,,nspp_coastal.fishes_2100
input_taxa_2100,,nspp_corals_2100
input_taxa_2100,,nspp_crustaceans_2100
input_taxa_2100,,nspp_echinoderms_2100
input_taxa_2100,,nspp_euphausiids_2100
input_taxa_2100,,nspp_gastropods_2100
input_taxa_2100,,nspp_hydrozoans_2100
input_taxa_2100,,nspp_na_2100
input_taxa_2100,,nspp_non.squid.cephalopods_2100
input_taxa_2100,,nspp_pinnipeds_2100
input_taxa_2100,,nspp_reptiles_2100
input_taxa_2100,,nspp_sea.spiders_2100
input_taxa_2100,,nspp_seagrasses_2100
input_taxa_2100,,nspp_sharks_2100
input_taxa_2100,,nspp_sponges_2100
input_taxa_2100,,nspp_tunas.n.billfishes_2100
input_taxa_2100,,nspp_tunicates_2100
input_taxa_2100,,nspp_worms_2100
input_taxa_2100,,rls_all_2100
input_taxa_2100,,rls_bivalves_2100
input_taxa_2100,,rls_coastal.fishes_2100
input_taxa_2100,,rls_corals_2100
input_taxa_2100,,rls_echinoderms_2100
input_taxa_2100,,rls_na_2100
input_taxa_2100,,rls_non.squid.cephalopods_2100
input_taxa_2100,,rls_pinnipeds_2100
input_taxa_2100,,rls_reptiles_2100
input_taxa_2100,,rls_sharks_2100
input_taxa_2100,,rls_tunas.n.billfishes_2100
