lyr,v_at30,pcths_at30
bio_vgpm,429.51385498046875,16.36869194817488
nspp_bivalves,12.120176315307617,0.2662249304857126
nspp_bony.fishes,354.16839599609375,18.56711826303023
nspp_cephalopods,3.0149617195129395,5.05354079157546
nspp_cetaceans,19.009437561035156,15.817310536591137
nspp_chitons,1,0.8578358871206294
nspp_corals,5.703531742095947,1.6210140211796724
nspp_crustaceans,27,13.60468555877655
nspp_echinoderms,5.792998790740967,2.70484529373484
nspp_euphausiids,1,3.158019286517186
nspp_forams,1.3055217266082764,0.23309471691415726
nspp_gastropods,16.64425277709961,0.7454298053599954
nspp_hydrozoans,7.4701433181762695,0.7205821451813288
nspp_jellyfish,1,5.001479027391588
nspp_other,6.703270435333252,7.927586818907886
nspp_pinnipeds,2,4.903271608590192
nspp_reptiles,1,6.0001183221913275
nspp_sea.spiders,8.168031692504883,5.12098444063184
nspp_seagrasses,3,0.004732887653079335
nspp_sharks.n.rays,15.535513877868652,14.274389161687273
nspp_sponges,6.6716508865356445,0.1987812814293321
nspp_tunas.n.billfishes,12,18.241732236881028
nspp_tunicates,14.832341194152832,8.655268295568835
nspp_worms,12.20360279083252,3.288173696976868
rls_all,39,18.50322427971366
phys_seamounts_gt200to800m,1,0.07572620244926936
phys_seamounts_gt800m,2,2.575874105188428
phys_seamounts_0to200m,1,0.03786310122463468
phys_vents,2,0.03194699165828552
scapes_hetero,6,20.131337632372954
