feature,rel_all,rel_each
bio_nspp,0.40300938887970783,0.46164622135581546
bio_rls,0.40507362555146953,0.48201691745123415
phys_seamounts,0.9957426427543379,0.9999999999998251
phys_vents,0.9873417721519018,1.0000000000000033
phys_scape1,0.1436788877135725,0.9999999999999948
phys_scape2,0.2607141588672927,0.9947966695210012
phys_scape3,0.3672434681878639,1.0000000000000182
phys_scape4,0.36783349123512804,0.9999999999999865
phys_scape5,0.4245062363823001,0.997420565929915
phys_scape6,0.5644989062460503,0.9999999999999972
phys_scape7,0.1674577470718722,0.9999999999999994
phys_scape8,0.6213834426449353,0.9999999999999977
phys_scape9,0.2845138380563241,0.999999999999995
phys_scape10,0.8298868106083377,1
phys_scape11,0.4932076141211506,1.0000000000000013
